NUMERO_CLIENTE,Recency,Frequency,Monetary
1,29,30440,3395957.10
28,74,2,982.85
179,45,1,1699.77
189,35,7,3525.66
227,33,6,7000.16
229,34,3,458.35
241,59,1,89.52
249,69,3,534.57
258,31,36,24636.40
322,61,1,541.59
335,31,2,885.85
341,37,1,159.25
353,37,1,211.15
363,33,19,29203.93
367,83,1,710.4
378,44,2,2657.25
423,37,11,403.59
429,41,4,4993.45
444,62,2,501.83
449,86,1,393.4
470,31,10,2575.59
487,32,10,7680.00
492,90,1,227.23
505,30,20,8415.49
516,30,5,4746.55
542,89,1,214.2
558,54,3,7245.90
570,87,2,649.82
576,39,3,6770.19
580,35,3,2494.35
583,35,1,108.97
606,39,4,3614.90
607,46,3,1086.24
618,32,21,31902.86
632,31,3,854.02
658,34,16,6812.90
680,62,2,981.74
687,70,1,811.22
708,31,35,192561.86
749,34,9,31901.94
756,32,14,9943.04
770,82,1,286.82
777,40,1,253
782,34,6,1325.39
819,40,1,536.59
836,51,2,244.02
895,33,7,17928.92
922,37,1,609.75
944,38,19,6882.88
963,39,2,2232.87
974,40,4,2306.07
1008,31,4,2091.45
1027,46,4,1661.91
1045,61,2,2651.74
1074,49,4,3419.13
1083,30,1,371.79
1106,33,2,3749.19
1142,31,11,3897.42
1146,40,1,33.79
1154,60,1,133.87
1176,41,4,3969.01
1184,33,1,35.25
1217,61,1,134.9
1227,38,7,5804.98
1229,31,25,75397.22
1241,87,1,291.41
1255,68,2,1726.40
1266,31,7,8458.49
1300,62,1,83.4
1316,67,2,171.92
1322,33,1,119.84
1323,70,3,144.36
1344,88,2,254.89
1379,37,5,1382.79
1388,35,3,10304.37
1393,30,27,10407.71
1405,76,1,277.53
1421,30,5,2484.60
1441,31,18,25779.50
1455,37,8,18892.08
1471,49,2,740.8
1476,32,8,8534.05
1483,30,5,910.94
1497,33,4,999.02
1534,46,4,2464.91
1545,59,1,509.96
1553,87,1,103.9
1582,56,2,749.38
1586,41,4,834.92
1623,61,1,99.6
1656,37,6,1133.15
1664,58,2,281.31
1682,33,1,78.4
1686,31,3,1429.49
1693,73,2,773.39
1707,34,6,9177.44
1712,41,3,1256.24
1725,32,6,13367.86
1775,45,1,93.99
1825,35,1,67.65
1836,63,2,715.82
1854,55,2,251.21
1855,61,1,279.65
1874,33,3,4104.60
1920,34,12,7642.03
1970,41,3,12771.32
1973,52,1,96
1988,39,2,858.52
2003,54,1,45.62
2015,61,3,927.21
2034,40,8,4879.75
2048,40,3,1171.14
2058,80,1,425.59
2068,34,7,2501.37
2071,70,1,152.49
2091,54,2,1361.89
2104,72,1,167.26
2137,37,1,92.87
2139,35,2,316.09
2162,48,2,932.8
2163,45,3,788.2
2177,31,38,10905.08
2178,61,1,169.42
2196,59,2,486.28
2216,74,4,2529.35
2217,78,1,478.89
2239,34,2,1369.31
2246,33,6,1468.21
2266,69,1,176.9
2279,33,4,595.08
2288,73,1,21.45
2323,31,12,38667.90
2386,46,1,778.2
2394,34,1,211
2398,33,1,2790.00
2444,32,8,7980.14
2478,39,4,811.24
2485,39,3,4237.10
2504,65,2,687.5
2542,35,2,29778.20
2547,41,5,869.53
2553,33,1,70.27
2569,41,2,4561.62
2603,31,6,4355.15
2610,38,5,4055.37
2646,41,4,1019.51
2656,30,1,632.9
2658,46,1,383.4
2668,37,4,1235.42
2674,89,1,197.87
2677,32,4,434.99
2699,34,13,8814.33
2703,74,1,41.59
2714,33,6,3301.96
2721,65,1,289.9
2722,31,1,35.25
2735,80,1,579.69
2738,33,7,3653.56
2744,82,1,386.4
2754,45,2,672.8
2758,33,6,3538.64
2776,46,2,81.71
2786,31,10,1628.34
2796,38,12,4333.74
2804,39,4,12522.82
2815,83,1,165.9
2818,32,1,4880.32
2863,75,2,1344.69
2871,35,5,6215.62
2879,45,1,2057.00
2897,38,6,7037.80
2901,55,1,65.54
2914,56,1,358.03
2936,31,2,396.85
2971,77,1,144.39
2996,35,2,967.43
3007,33,1,207
3009,34,1,500.41
3030,45,1,244.48
3043,34,2,2706.80
3049,30,46,100826.47
3058,72,2,434.09
3070,61,1,763.44
3097,38,1,118.74
3118,38,7,826.77
3126,33,7,4090.33
3130,34,6,12510.53
3138,35,1,15611.80
3144,60,2,300.15
3153,79,1,24
3158,35,1,45.36
3176,41,2,1048.64
3193,40,1,599.92
3241,45,1,83.9
3259,38,6,3837.38
3277,31,4,1807.39
3280,33,1,428.76
3316,55,1,1994.40
3325,35,7,480294.55
3334,56,1,36.06
3339,77,1,346.21
3354,48,5,4779.25
3422,60,1,200.66
3425,55,2,2042.08
3433,72,1,284.2
3443,62,1,277.9
3444,30,1,263.09
3460,63,1,2064.97
3471,31,7,1874.85
3473,33,5,4359.68
3477,77,1,514.69
3479,32,4,1699.03
3496,31,8,29054.51
3506,84,2,1996.53
3521,33,15,10649.43
3522,40,1,451.5
3530,35,2,832
3532,61,1,402.45
3535,29,6,1112.97
3597,51,1,84.9
3609,48,1,269.33
3621,82,1,76.5
3640,39,2,934.93
3667,30,1,279.84
3694,31,7,9443.93
3708,67,1,438.65
3709,76,1,135.9
3731,46,3,529.94
3733,46,2,575.2
3746,34,1,570.54
3750,46,1,1362.15
3754,34,2,212.62
3757,90,1,2240.52
3758,35,1,35.25
3760,35,1,43.15
3798,39,1,506
3805,60,1,144.78
3809,34,2,308.4
3813,45,9,9937.35
3822,76,1,298
3826,80,2,460.58
3850,47,1,458.49
3859,36,5,1361.19
3908,54,2,570.6
3910,31,5,1199.90
3967,41,5,6388.79
3974,31,6,8789.68
3980,31,6,1390.39
4004,34,1,63
4006,34,1,127.56
4014,31,1,2571.13
4025,35,7,33004.26
4051,29,1,166.72
4079,29,1,43.15
4092,34,6,12250.44
4140,54,5,7271.31
4165,34,2,3854.06
4170,40,1,522.75
4171,29,9,5944.05
4225,38,9,2454.90
4233,33,5,3022.66
4239,39,1,654.25
4247,82,1,388.19
4248,40,1,280.4
4255,33,2,2141.80
4256,33,1,560.59
4286,90,1,750
4303,34,17,1383.52
4304,56,1,211.46
4337,38,4,2018.73
4350,30,1,31.5
4390,33,7,7744.10
4435,45,1,28.26
4455,45,1,53.26
4479,33,1,43.15
4515,60,1,597.32
4571,51,1,45.05
4572,90,1,100
4581,67,1,41.78
4584,82,1,215.68
4585,47,1,488.26
4586,56,1,205.95
4595,35,7,2876.86
4615,81,1,3562.32
4664,39,1,761.26
4675,82,1,149.9
4678,35,13,9682.19
4727,56,2,246.02
4742,73,1,963.58
4755,44,3,512.53
4760,48,2,314.76
4780,80,1,189.48
4798,59,2,529.88
4808,40,1,33.8
4842,31,1,275.25
4861,30,4,1077.77
4865,55,2,1017.24
4898,54,1,819.9
4915,31,29,1575.22
4927,38,3,617.29
4931,39,2,472.3
4937,31,1,3.19
4962,39,6,825.71
4979,60,1,1020.77
4996,75,2,3128.12
5021,44,1,842.54
5028,30,13,4774.92
5035,44,7,25241.48
5052,45,4,1868.79
5082,34,15,13374.64
5083,40,2,300.61
5097,32,1,66.86
5114,31,1,44.15
5129,34,1,35.25
5148,69,2,309.55
